window,group_id,group_name,W_max_mbps,util_no_contention,util_with_contention,congestion_event,R_ij_degradation,lat_no_ms,lat_with_ms,viol_no,viol_with,q_net_no,q_net_with
0,0,Region-A Backhaul,400.0,0.9396,0.9396,0,1.0,2072.1,2072.1,0.2017,0.2017,0.522,0.522
0,1,Cloud Egress,300.0,0.7785,0.7785,0,1.0,2072.1,2072.1,0.2017,0.2017,0.522,0.522
0,2,Cross-Region WAN,500.0,0.8501,0.8501,0,1.0,2072.1,2072.1,0.2017,0.2017,0.522,0.522
1,0,Region-A Backhaul,400.0,0.9141,0.9141,0,1.0,2097.0,2097.0,0.2194,0.2194,0.59,0.59
1,1,Cloud Egress,300.0,0.9674,0.9674,0,1.0,2097.0,2097.0,0.2194,0.2194,0.59,0.59
1,2,Cross-Region WAN,500.0,0.9408,0.9408,0,1.0,2097.0,2097.0,0.2194,0.2194,0.59,0.59
2,0,Region-A Backhaul,400.0,1.055,1.0,1,0.9478,2112.1,2183.1,0.1598,0.2396,0.75,1.371
2,1,Cloud Egress,300.0,1.0492,1.0,1,0.9531,2112.1,2183.1,0.1598,0.2396,0.75,1.371
2,2,Cross-Region WAN,500.0,1.0731,1.0,1,0.9319,2112.1,2183.1,0.1598,0.2396,0.75,1.371
3,0,Region-A Backhaul,400.0,1.1988,1.0,1,0.8342,2113.2,2261.1,0.1951,0.3616,0.828,2.122
3,1,Cloud Egress,300.0,1.049,1.0,1,0.9533,2113.2,2261.1,0.1951,0.3616,0.828,2.122
3,2,Cross-Region WAN,500.0,1.1221,1.0,1,0.8912,2113.2,2261.1,0.1951,0.3616,0.828,2.122
4,0,Region-A Backhaul,400.0,1.0156,1.0,1,0.9846,2100.7,2156.1,0.1733,0.2355,0.64,1.124
4,1,Cloud Egress,300.0,1.1227,1.0,1,0.8907,2100.7,2156.1,0.1733,0.2355,0.64,1.124
4,2,Cross-Region WAN,500.0,0.826,0.826,0,1.0,2100.7,2156.1,0.1733,0.2355,0.64,1.124
5,0,Region-A Backhaul,400.0,1.0301,1.0,1,0.9708,2127.6,2200.0,0.1762,0.2577,0.688,1.322
5,1,Cloud Egress,300.0,1.1509,1.0,1,0.8689,2127.6,2200.0,0.1762,0.2577,0.688,1.322
5,2,Cross-Region WAN,500.0,0.921,0.921,0,1.0,2127.6,2200.0,0.1762,0.2577,0.688,1.322
6,0,Region-A Backhaul,400.0,1.2477,1.0,1,0.8015,2085.3,2337.6,0.1743,0.4581,0.927,3.135
6,1,Cloud Egress,300.0,1.2379,1.0,1,0.8078,2085.3,2337.6,0.1743,0.4581,0.927,3.135
6,2,Cross-Region WAN,500.0,1.1451,1.0,1,0.8733,2085.3,2337.6,0.1743,0.4581,0.927,3.135
7,0,Region-A Backhaul,400.0,1.1358,1.0,1,0.8804,2108.4,2223.5,0.1694,0.2989,0.762,1.769
7,1,Cloud Egress,300.0,0.9832,0.9832,0,1.0,2108.4,2223.5,0.1694,0.2989,0.762,1.769
7,2,Cross-Region WAN,500.0,1.1519,1.0,1,0.8681,2108.4,2223.5,0.1694,0.2989,0.762,1.769
8,0,Region-A Backhaul,400.0,0.9597,0.9597,0,1.0,2115.0,2173.0,0.1859,0.2512,0.705,1.213
8,1,Cloud Egress,300.0,0.9,0.9,0,1.0,2115.0,2173.0,0.1859,0.2512,0.705,1.213
