algorithm,workflow_steps,lat_mean,lat_std,lat_p95,cost_mean,viol_pct,risk_mean,n
STAR-PPO (Full),2,457.84827820573366,347.02604516727575,1142.6085794279643,0.010096504688125356,0.0,0.0,200
STAR-PPO (Full),3,737.2094886330138,527.5708194536603,1621.9280885069918,0.018898993389569366,0.4999999888241291,0.0,200
STAR-PPO (Full),5,1233.2888215369694,565.162151290828,2112.3446958525637,0.03919713724516757,1.4999999664723873,0.0,200
A3C,2,457.8277568788776,347.01714964045306,1142.1859221343202,0.010044598951935768,0.0,0.0,200
A3C,3,737.2147068562035,527.5985307694095,1622.071375502173,0.01877758465707302,0.4999999888241291,0.0,200
A3C,5,1233.1768069610846,565.1560382966844,2112.8535035646423,0.038646966218948364,1.4999999664723873,0.0,200
Greedy,2,1154.956089458901,651.6062859321574,2450.8596560585706,0.016473492,2.500000037252903,0.0,200
Greedy,3,1823.3089758230146,987.4160625032551,3510.136915762671,0.030620339999999996,9.49999988079071,0.0,200
Greedy,5,3037.2515570717346,1069.6861127513453,4657.702703477871,0.06099481799999999,40.50000011920929,0.0,200
PF-PPO,2,733.3587708565082,335.36557452796677,1404.272002862038,0.016473492607474327,0.0,0.0,200
PF-PPO,3,1132.326652316716,486.6103358682945,2014.119046336181,0.03062034212052822,0.9999999776482582,0.0,200
PF-PPO,5,1900.8431188529594,532.7646778056281,2728.8915348502837,0.060994815081357956,3.999999910593033,0.0,200
PPO-Std,2,474.24199111297787,359.6014268105255,1169.3793979691711,0.01216686051338911,0.0,0.0,200
PPO-Std,3,763.0528157495128,546.9674829274453,1682.8024685532357,0.022615328431129456,0.9999999776482582,0.0,200
PPO-Std,5,1272.8777611839205,586.17991165178,2148.2563596516093,0.045049067586660385,1.4999999664723873,0.0,200
PPO-CN,2,474.0653571754272,359.65252590716307,1169.8765281798228,0.011560083366930485,0.0,0.0,200
PPO-CN,3,763.041352245488,547.0457410260855,1682.528472605436,0.021518077701330185,0.9999999776482582,0.0,200
PPO-CN,5,1273.5849650805894,586.1715000341084,2151.0838823011177,0.043218642473220825,1.4999999664723873,0.0,200
Random,2,841.5209938913287,726.7514440351978,2019.5282770490394,0.025686626451986466,1.9999999552965164,0.0,200
Random,3,1440.829074652901,1097.3013282354336,3112.2007723415372,0.052825618853867835,5.999999865889549,0.0,200
Random,5,2357.57290153361,1076.4118105328296,4905.3127348529315,0.09934183980086436,16.500000655651093,0.0,200
STARK,2,1131.4711246900167,650.6423943536922,2293.6032961956266,0.016473492,2.9999999329447746,0.0,200
STARK,3,1789.811093374873,987.3919998527622,3610.2375994296895,0.030620339999999996,9.000000357627869,0.0,200
STARK,5,3003.7368381664182,1057.501237666231,4562.549751047609,0.06099481799999999,40.50000011920929,0.0,200
