Algorithm,Node Count,Edge Count,n,Avg Lat (ms),P95 Lat (ms),Avg Cost,DT Mean (ms),DT Std (ms),DT P95 (ms)
STAR-PPO,500,1487,200,2112.2,4110.1,0.0703,23.7,10.0,31.3
STAR-PPO,1000,2963,200,2067.9,4235.4,0.0767,49.0,11.4,66.7
STAR-PPO,2000,5921,200,2151.5,4050.3,0.0729,96.4,23.9,127.9
PF-PPO,500,1487,200,2702.1,4432.2,0.1028,23.2,9.3,30.5
PF-PPO,1000,2963,200,2680.3,4641.0,0.2646,48.7,13.6,65.1
PF-PPO,2000,5921,200,2729.1,4448.9,0.2733,90.7,22.2,121.2
PPO-Std,500,1487,200,2170.8,4243.8,0.0811,21.5,9.2,28.7
PPO-Std,1000,2963,200,2297.0,4712.4,0.1054,45.4,10.7,61.7
PPO-Std,2000,5921,200,2147.0,4043.5,0.0869,87.3,20.0,117.4
A3C,500,1487,200,2112.2,4110.1,0.0703,22.6,9.1,30.3
A3C,1000,2963,200,2104.9,4312.0,0.0786,44.3,10.3,59.5
A3C,2000,5921,200,2132.3,4018.4,0.0767,87.0,19.6,117.2
Equity-Trans,500,1487,200,2141.2,4183.7,0.0832,24.1,12.3,31.3
Equity-Trans,1000,2963,200,2067.5,4234.6,0.0756,47.3,11.5,62.7
Equity-Trans,2000,5921,200,2178.6,4129.4,0.0965,89.0,20.6,119.3
STARK,500,1487,200,2865.8,5906.6,0.1211,207.5,74.5,311.1
STARK,1000,2963,200,2887.5,6343.6,0.2216,531.1,196.4,810.9
STARK,2000,5921,200,2128.9,4018.2,0.0907,1497.9,567.7,2331.9
Greedy,500,1487,200,2702.1,4432.2,0.1028,0.8,0.3,1.2
Greedy,1000,2963,200,2686.8,4738.8,0.2658,1.8,0.6,2.7
Greedy,2000,5921,200,2728.7,4462.8,0.2726,3.9,1.4,5.9
Random,500,1487,200,3687.8,7066.3,0.1742,0.5,0.2,0.7
Random,1000,2963,200,3793.4,8038.1,0.2219,0.9,0.3,1.4
Random,2000,5921,200,3728.0,8159.5,0.2321,1.8,0.7,2.9
