ModelID,ModelType,ArenaScore,ServerID,ModelTypeName,ModelInstanceID,CostPerToken
1,1,1.0,Server1_13,ChatGPT,model_Server1_13_1,0.0015
2,1,0.967,Server1_1,ChatGPT,model_Server1_1_2,0.0015
3,1,0.952,Server1_25,ChatGPT,model_Server1_25_3,0.0015
4,1,0.942,Server1_9,ChatGPT,model_Server1_9_4,0.0015
5,1,0.936,Server1_9,ChatGPT,model_Server1_9_5,0.0015
6,1,0.928,Server1_20,ChatGPT,model_Server1_20_6,0.0015
7,1,0.908,Server1_22,ChatGPT,model_Server1_22_7,0.0015
8,1,0.908,Server1_7,ChatGPT,model_Server1_7_8,0.0015
9,1,0.897,Server1_13,ChatGPT,model_Server1_13_9,0.0015
10,1,0.881,Server1_17,ChatGPT,model_Server1_17_10,0.0015
11,1,0.873,Server1_21,ChatGPT,model_Server1_21_11,0.0015
12,1,0.867,Server1_7,ChatGPT,model_Server1_7_12,0.0015
13,1,0.863,Server1_11,ChatGPT,model_Server1_11_13,0.0015
14,1,0.861,Server1_1,ChatGPT,model_Server1_1_14,0.0015
15,1,0.848,Server1_10,ChatGPT,model_Server1_10_15,0.0015
16,1,0.845,Server1_13,ChatGPT,model_Server1_13_16,0.0015
17,1,0.838,Server1_4,ChatGPT,model_Server1_4_17,0.0015
18,1,0.822,Server1_22,ChatGPT,model_Server1_22_18,0.0015
19,1,0.817,Server1_20,ChatGPT,model_Server1_20_19,0.0015
20,1,0.811,Server1_4,ChatGPT,model_Server1_4_20,0.0015
21,1,0.805,Server1_17,ChatGPT,model_Server1_17_21,0.0015
22,1,0.8,Server1_17,ChatGPT,model_Server1_17_22,0.0015
23,1,0.8,Server1_7,ChatGPT,model_Server1_7_23,0.0015
24,1,0.798,Server1_21,ChatGPT,model_Server1_21_24,0.0015
25,1,0.791,Server1_5,ChatGPT,model_Server1_5_25,0.0015
26,1,0.791,Server1_7,ChatGPT,model_Server1_7_26,0.0015
