ModelID,ModelType,ArenaScore,ServerID,ModelTypeName,ModelInstanceID,CostPerToken
1,1,1.0,Server3_90,ChatGPT,model_Server3_90_1,0.0015
2,1,0.967,Server3_45,ChatGPT,model_Server3_45_2,0.0015
3,1,0.952,Server3_3,ChatGPT,model_Server3_3_3,0.0015
4,1,0.942,Server3_81,ChatGPT,model_Server3_81_4,0.0015
5,1,0.936,Server3_34,ChatGPT,model_Server3_34_5,0.0015
6,1,0.928,Server3_7,ChatGPT,model_Server3_7_6,0.0015
7,1,0.908,Server3_34,ChatGPT,model_Server3_34_7,0.0015
8,1,0.908,Server3_78,ChatGPT,model_Server3_78_8,0.0015
9,1,0.897,Server3_13,ChatGPT,model_Server3_13_9,0.0015
10,1,0.881,Server3_65,ChatGPT,model_Server3_65_10,0.0015
11,1,0.873,Server3_38,ChatGPT,model_Server3_38_11,0.0015
12,1,0.867,Server3_50,ChatGPT,model_Server3_50_12,0.0015
13,1,0.863,Server3_65,ChatGPT,model_Server3_65_13,0.0015
14,1,0.861,Server3_5,ChatGPT,model_Server3_5_14,0.0015
15,1,0.848,Server3_54,ChatGPT,model_Server3_54_15,0.0015
16,1,0.845,Server3_16,ChatGPT,model_Server3_16_16,0.0015
17,1,0.838,Server3_4,ChatGPT,model_Server3_4_17,0.0015
18,1,0.822,Server3_2,ChatGPT,model_Server3_2_18,0.0015
19,1,0.817,Server3_1,ChatGPT,model_Server3_1_19,0.0015
20,1,0.811,Server3_66,ChatGPT,model_Server3_66_20,0.0015
21,1,0.805,Server3_78,ChatGPT,model_Server3_78_21,0.0015
22,1,0.8,Server3_40,ChatGPT,model_Server3_40_22,0.0015
23,1,0.8,Server3_63,ChatGPT,model_Server3_63_23,0.0015
24,1,0.798,Server3_100,ChatGPT,model_Server3_100_24,0.0015
25,1,0.791,Server3_40,ChatGPT,model_Server3_40_25,0.0015
26,1,0.791,Server3_30,ChatGPT,model_Server3_30_26,0.0015
27,1,0.791,Server3_58,ChatGPT,model_Server3_58_27,0.0015
28,1,0.789,Server3_73,ChatGPT,model_Server3_73_28,0.0015
29,1,0.786,Server3_24,ChatGPT,model_Server3_24_29,0.0015
30,1,0.786,Server3_63,ChatGPT,model_Server3_63_30,0.0015
31,1,0.784,Server3_57,ChatGPT,model_Server3_57_31,0.0015
32,1,0.777,Server3_37,ChatGPT,model_Server3_37_32,0.0015
33,1,0.775,Server3_99,ChatGPT,model_Server3_99_33,0.0015
34,1,0.77,Server3_70,ChatGPT,model_Server3_70_34,0.0015
35,1,0.764,Server3_2,ChatGPT,model_Server3_2_35,0.0015
36,1,0.763,Server3_75,ChatGPT,model_Server3_75_36,0.0015
37,1,0.759,Server3_75,ChatGPT,model_Server3_75_37,0.0015
38,1,0.756,Server3_18,ChatGPT,model_Server3_18_38,0.0015
39,1,0.755,Server3_10,ChatGPT,model_Server3_10_39,0.0015
40,1,0.75,Server3_60,ChatGPT,model_Server3_60_40,0.0015
41,1,0.744,Server3_68,ChatGPT,model_Server3_68_41,0.0015
42,1,0.742,Server3_97,ChatGPT,model_Server3_97_42,0.0015
43,1,0.739,Server3_42,ChatGPT,model_Server3_42_43,0.0015
44,1,0.739,Server3_34,ChatGPT,model_Server3_34_44,0.0015
45,1,0.738,Server3_66,ChatGPT,model_Server3_66_45,0.0015
46,1,0.738,Server3_76,ChatGPT,model_Server3_76_46,0.0015
47,1,0.738,Server3_35,ChatGPT,model_Server3_35_47,0.0015
48,1,0.734,Server3_49,ChatGPT,model_Server3_49_48,0.0015
49,1,0.734,Server3_46,ChatGPT,model_Server3_46_49,0.0015
50,1,0.733,Server3_62,ChatGPT,model_Server3_62_50,0.0015
51,1,0.731,Server3_26,ChatGPT,model_Server3_26_51,0.0015
52,1,0.731,Server3_70,ChatGPT,model_Server3_70_52,0.0015
53,1,0.73,Server3_61,ChatGPT,model_Server3_61_53,0.0015
54,1,0.728,Server3_41,ChatGPT,model_Server3_41_54,0.0015
55,1,0.725,Server3_20,ChatGPT,model_Server3_20_55,0.0015
56,1,0.722,Server3_8,ChatGPT,model_Server3_8_56,0.0015
57,1,0.72,Server3_85,ChatGPT,model_Server3_85_57,0.0015
58,1,0.717,Server3_77,ChatGPT,model_Server3_77_58,0.0015
59,1,0.716,Server3_20,ChatGPT,model_Server3_20_59,0.0015
60,1,0.714,Server3_56,ChatGPT,model_Server3_56_60,0.0015
61,1,0.714,Server3_1,ChatGPT,model_Server3_1_61,0.0015
62,1,0.706,Server3_28,ChatGPT,model_Server3_28_62,0.0015
63,1,0.705,Server3_17,ChatGPT,model_Server3_17_63,0.0015
64,1,0.705,Server3_1,ChatGPT,model_Server3_1_64,0.0015
65,1,0.703,Server3_73,ChatGPT,model_Server3_73_65,0.0015
66,1,0.702,Server3_68,ChatGPT,model_Server3_68_66,0.0015
67,1,0.7,Server3_64,ChatGPT,model_Server3_64_67,0.0015
68,1,0.697,Server3_90,ChatGPT,model_Server3_90_68,0.0015
69,1,0.695,Server3_61,ChatGPT,model_Server3_61_69,0.0015
70,1,0.695,Server3_53,ChatGPT,model_Server3_53_70,0.0015
71,1,0.684,Server3_90,ChatGPT,model_Server3_90_71,0.0015
72,1,0.681,Server3_55,ChatGPT,model_Server3_55_72,0.0015
73,1,0.669,Server3_54,ChatGPT,model_Server3_54_73,0.0015
74,1,0.661,Server3_74,ChatGPT,model_Server3_74_74,0.0015
75,1,0.658,Server3_45,ChatGPT,model_Server3_45_75,0.0015
76,1,0.653,Server3_27,ChatGPT,model_Server3_27_76,0.0015
77,1,0.653,Server3_3,ChatGPT,model_Server3_3_77,0.0015
78,1,0.653,Server3_53,ChatGPT,model_Server3_53_78,0.0015
79,1,0.652,Server3_79,ChatGPT,model_Server3_79_79,0.0015
80,1,0.65,Server3_65,ChatGPT,model_Server3_65_80,0.0015
81,1,0.645,Server3_52,ChatGPT,model_Server3_52_81,0.0015
82,1,0.644,Server3_70,ChatGPT,model_Server3_70_82,0.0015
83,1,0.641,Server3_76,ChatGPT,model_Server3_76_83,0.0015
84,1,0.641,Server3_68,ChatGPT,model_Server3_68_84,0.0015
85,1,0.638,Server3_33,ChatGPT,model_Server3_33_85,0.0015
86,1,0.638,Server3_73,ChatGPT,model_Server3_73_86,0.0015
87,1,0.634,Server3_61,ChatGPT,model_Server3_61_87,0.0015
88,1,0.634,Server3_83,ChatGPT,model_Server3_83_88,0.0015
89,1,0.628,Server3_1,ChatGPT,model_Server3_1_89,0.0015
90,1,0.623,Server3_45,ChatGPT,model_Server3_45_90,0.0015
91,1,0.614,Server3_70,ChatGPT,model_Server3_70_91,0.0015
92,1,0.611,Server3_31,ChatGPT,model_Server3_31_92,0.0015
93,1,0.609,Server3_43,ChatGPT,model_Server3_43_93,0.0015
94,1,0.606,Server3_35,ChatGPT,model_Server3_35_94,0.0015
95,1,0.605,Server3_9,ChatGPT,model_Server3_9_95,0.0015
96,1,0.603,Server3_40,ChatGPT,model_Server3_40_96,0.0015
97,1,0.598,Server3_47,ChatGPT,model_Server3_47_97,0.0015
98,1,0.595,Server3_82,ChatGPT,model_Server3_82_98,0.0015
99,1,0.594,Server3_56,ChatGPT,model_Server3_56_99,0.0015
100,1,0.594,Server3_95,ChatGPT,model_Server3_95_100,0.0015
101,1,0.592,Server3_71,ChatGPT,model_Server3_71_101,0.0015
102,1,0.589,Server3_36,ChatGPT,model_Server3_36_102,0.0015
103,1,0.589,Server3_41,ChatGPT,model_Server3_41_103,0.0015
104,1,0.569,Server3_36,ChatGPT,model_Server3_36_104,0.0015
105,1,0.566,Server3_25,ChatGPT,model_Server3_25_105,0.0015
106,1,0.559,Server3_99,ChatGPT,model_Server3_99_106,0.0015
107,1,0.559,Server3_86,ChatGPT,model_Server3_86_107,0.0015
108,1,0.558,Server3_94,ChatGPT,model_Server3_94_108,0.0015
109,1,0.553,Server3_52,ChatGPT,model_Server3_52_109,0.0015
110,1,0.552,Server3_51,ChatGPT,model_Server3_51_110,0.0015
111,1,0.547,Server3_15,ChatGPT,model_Server3_15_111,0.0015
112,1,0.547,Server3_30,ChatGPT,model_Server3_30_112,0.0015
113,1,0.545,Server3_86,ChatGPT,model_Server3_86_113,0.0015
114,1,0.545,Server3_2,ChatGPT,model_Server3_2_114,0.0015
115,1,0.544,Server3_21,ChatGPT,model_Server3_21_115,0.0015
116,1,0.544,Server3_17,ChatGPT,model_Server3_17_116,0.0015
117,1,0.539,Server3_92,ChatGPT,model_Server3_92_117,0.0015
118,1,0.536,Server3_88,ChatGPT,model_Server3_88_118,0.0015
119,1,0.519,Server3_79,ChatGPT,model_Server3_79_119,0.0015
120,1,0.513,Server3_44,ChatGPT,model_Server3_44_120,0.0015
121,1,0.509,Server3_14,ChatGPT,model_Server3_14_121,0.0015
122,1,0.506,Server3_63,ChatGPT,model_Server3_63_122,0.0015
123,1,0.5,Server3_18,ChatGPT,model_Server3_18_123,0.0015
124,1,0.5,Server3_32,ChatGPT,model_Server3_32_124,0.0015
125,1,0.492,Server3_62,ChatGPT,model_Server3_62_125,0.0015
