TaskID,WorkflowStepIndex,MappedRequestID,RequiredModelType
task_Server3_test_0_0,0,req_3742327,ChatGPT
task_Server3_test_0_0,1,req_1745292,ChatGPT
task_Server3_test_0_0,2,req_2893631,ChatGPT
task_Server3_test_0_0,3,req_4154408,ChatGPT
task_Server3_test_0_0,4,req_5078547,GPT-4
task_Server3_test_0_1,0,req_1522401,ChatGPT
task_Server3_test_0_1,1,req_2623018,ChatGPT
task_Server3_test_0_1,2,req_5185925,GPT-4
task_Server3_test_0_1,3,req_2189067,ChatGPT
task_Server3_test_0_1,4,req_1786498,GPT-4v
task_Server3_test_0_2,0,req_3217860,ChatGPT
task_Server3_test_0_2,1,req_3623232,GPT-4
task_Server3_test_0_2,2,req_2310528,GPT-4v
task_Server3_test_0_2,3,req_2152232,ChatGPT
task_Server3_test_0_2,4,req_1938565,GPT-4v
task_Server3_test_0_3,0,req_4837524,ChatGPT
task_Server3_test_0_3,1,req_2115062,ChatGPT
task_Server3_test_0_3,2,req_1903214,GPT-4
task_Server3_test_0_3,3,req_2045006,GPT-4v
task_Server3_test_0_3,4,req_4937994,ChatGPT
task_Server3_test_0_4,0,req_4597041,ChatGPT
task_Server3_test_0_4,1,req_2072941,GPT-4
task_Server3_test_0_4,2,req_3581748,ChatGPT
task_Server3_test_0_4,3,req_3734952,ChatGPT
task_Server3_test_0_4,4,req_4280855,ChatGPT
task_Server3_test_0_5,0,req_4937747,ChatGPT
task_Server3_test_0_5,1,req_1981494,ChatGPT
task_Server3_test_0_5,2,req_2600643,ChatGPT
task_Server3_test_0_5,3,req_4394772,ChatGPT
task_Server3_test_0_5,4,req_5205732,GPT-4
task_Server3_test_0_6,0,req_3067635,GPT-4
task_Server3_test_0_6,1,req_2730405,ChatGPT
task_Server3_test_0_6,2,req_3177216,ChatGPT
task_Server3_test_0_6,3,req_3586908,ChatGPT
task_Server3_test_0_6,4,req_3943637,GPT-4v
task_Server3_test_0_7,0,req_3528974,ChatGPT
task_Server3_test_0_7,1,req_5166117,ChatGPT
task_Server3_test_0_7,2,req_4151017,ChatGPT
task_Server3_test_0_7,3,req_5127446,GPT-4
task_Server3_test_0_7,4,req_3172937,ChatGPT
task_Server3_test_0_8,0,req_4997391,ChatGPT
task_Server3_test_0_8,1,req_3895682,ChatGPT
task_Server3_test_0_8,2,req_3451565,ChatGPT
task_Server3_test_0_8,3,req_3435884,GPT-4
task_Server3_test_0_8,4,req_4577676,ChatGPT
task_Server3_test_0_9,0,req_3240429,ChatGPT
task_Server3_test_0_9,1,req_4449693,ChatGPT
task_Server3_test_0_9,2,req_5247144,GPT-4
task_Server3_test_0_9,3,req_2431564,GPT-4v
task_Server3_test_0_9,4,req_3046344,GPT-4v
task_Server3_test_0_10,0,req_4764765,ChatGPT
task_Server3_test_0_10,1,req_1535917,ChatGPT
task_Server3_test_0_10,2,req_3350714,ChatGPT
task_Server3_test_0_10,3,req_4415689,GPT-4
task_Server3_test_0_10,4,req_4899003,GPT-4v
task_Server3_test_0_11,0,req_2197536,ChatGPT
task_Server3_test_0_11,1,req_2048878,GPT-4
task_Server3_test_0_11,2,req_4776356,GPT-4v
task_Server3_test_0_11,3,req_4750084,GPT-4v
task_Server3_test_0_11,4,req_2894166,GPT-4v
task_Server3_test_0_12,0,req_4970646,GPT-4
task_Server3_test_0_12,1,req_3173159,ChatGPT
task_Server3_test_0_12,2,req_4136671,ChatGPT
task_Server3_test_0_12,3,req_4629204,ChatGPT
task_Server3_test_0_12,4,req_1978384,GPT-4v
task_Server3_test_0_13,0,req_2154198,ChatGPT
task_Server3_test_0_13,1,req_2698360,ChatGPT
task_Server3_test_0_13,2,req_1957501,GPT-4
task_Server3_test_0_13,3,req_1715516,ChatGPT
task_Server3_test_0_13,4,req_2562563,ChatGPT
task_Server3_test_0_14,0,req_3097005,ChatGPT
task_Server3_test_0_14,1,req_3419614,ChatGPT
task_Server3_test_0_14,2,req_5254618,GPT-4
task_Server3_test_0_14,3,req_3848183,GPT-4v
task_Server3_test_0_14,4,req_3464098,ChatGPT
task_Server3_test_0_15,0,req_5203039,ChatGPT
task_Server3_test_0_15,1,req_1528242,ChatGPT
task_Server3_test_0_15,2,req_4989216,GPT-4
task_Server3_test_0_15,3,req_1592949,ChatGPT
task_Server3_test_0_15,4,req_2920516,GPT-4v
task_Server3_test_0_16,0,req_3787914,ChatGPT
task_Server3_test_0_16,1,req_2687264,GPT-4
task_Server3_test_0_16,2,req_4168969,ChatGPT
task_Server3_test_0_16,3,req_4792412,ChatGPT
task_Server3_test_0_16,4,req_3961996,GPT-4v
task_Server3_test_0_17,0,req_2279452,ChatGPT
task_Server3_test_0_17,1,req_1752923,ChatGPT
task_Server3_test_0_17,2,req_2183406,ChatGPT
task_Server3_test_0_17,3,req_5255572,GPT-4
task_Server3_test_0_17,4,req_4355229,ChatGPT
task_Server3_test_0_18,0,req_2336506,ChatGPT
task_Server3_test_0_18,1,req_2250731,ChatGPT
task_Server3_test_0_18,2,req_4591982,ChatGPT
task_Server3_test_0_18,3,req_3343394,ChatGPT
task_Server3_test_0_18,4,req_2687198,GPT-4
task_Server3_test_0_19,0,req_2397586,ChatGPT
task_Server3_test_0_19,1,req_2829621,ChatGPT
task_Server3_test_0_19,2,req_3111933,GPT-4
task_Server3_test_0_19,3,req_3174002,ChatGPT
task_Server3_test_0_19,4,req_2130788,GPT-4v
task_Server3_test_0_20,0,req_2686926,GPT-4
task_Server3_test_0_20,1,req_3985000,GPT-4v
task_Server3_test_0_20,2,req_4438117,ChatGPT
task_Server3_test_0_20,3,req_4598683,GPT-4v
task_Server3_test_0_20,4,req_4599073,GPT-4v
task_Server3_test_0_21,0,req_4300975,GPT-4
task_Server3_test_0_21,1,req_3151141,GPT-4v
task_Server3_test_0_21,2,req_4308302,ChatGPT
task_Server3_test_0_21,3,req_2332723,GPT-4v
task_Server3_test_0_21,4,req_5072821,ChatGPT
task_Server3_test_0_22,0,req_4868113,GPT-4
task_Server3_test_0_22,1,req_4905105,ChatGPT
task_Server3_test_0_22,2,req_2731310,ChatGPT
task_Server3_test_0_22,3,req_2972323,GPT-4v
task_Server3_test_0_22,4,req_4913934,GPT-4v
task_Server3_test_0_23,0,req_3673510,ChatGPT
task_Server3_test_0_23,1,req_3152477,ChatGPT
task_Server3_test_0_23,2,req_4223033,ChatGPT
task_Server3_test_0_23,3,req_2660403,GPT-4
task_Server3_test_0_23,4,req_3405499,GPT-4v
task_Server3_test_0_24,0,req_2987142,ChatGPT
task_Server3_test_0_24,1,req_4678157,ChatGPT
task_Server3_test_0_24,2,req_3522970,ChatGPT
task_Server3_test_0_24,3,req_4412268,ChatGPT
task_Server3_test_0_24,4,req_4868621,GPT-4
task_Server3_test_0_25,0,req_4655217,ChatGPT
task_Server3_test_0_25,1,req_4243051,ChatGPT
task_Server3_test_0_25,2,req_2977458,ChatGPT
task_Server3_test_0_25,3,req_1963403,GPT-4
task_Server3_test_0_25,4,req_3926107,ChatGPT
task_Server3_test_0_26,0,req_1930305,ChatGPT
task_Server3_test_0_26,1,req_4980746,GPT-4
task_Server3_test_0_26,2,req_4160691,ChatGPT
task_Server3_test_0_26,3,req_2211048,ChatGPT
task_Server3_test_0_26,4,req_5063450,GPT-4v
task_Server3_test_0_27,0,req_5198682,GPT-4
task_Server3_test_0_27,1,req_3727662,ChatGPT
task_Server3_test_0_27,2,req_4117231,GPT-4v
task_Server3_test_0_27,3,req_5124690,GPT-4v
task_Server3_test_0_27,4,req_3866105,GPT-4v
task_Server3_test_0_28,0,req_2229004,ChatGPT
task_Server3_test_0_28,1,req_3486450,ChatGPT
task_Server3_test_0_28,2,req_1455691,GPT-4
task_Server3_test_0_28,3,req_2291440,GPT-4v
task_Server3_test_0_28,4,req_4352131,ChatGPT
task_Server3_test_0_29,0,req_4967887,GPT-4
task_Server3_test_0_29,1,req_4370480,GPT-4v
task_Server3_test_0_29,2,req_3148335,GPT-4v
task_Server3_test_0_29,3,req_3166153,ChatGPT
task_Server3_test_0_29,4,req_3894470,GPT-4v
task_Server3_test_0_30,0,req_4521218,ChatGPT
task_Server3_test_0_30,1,req_3522603,ChatGPT
task_Server3_test_0_30,2,req_3120976,ChatGPT
task_Server3_test_0_30,3,req_5071982,GPT-4
task_Server3_test_0_30,4,req_1722263,GPT-4v
task_Server3_test_0_31,0,req_2526109,ChatGPT
task_Server3_test_0_31,1,req_2064288,ChatGPT
task_Server3_test_0_31,2,req_4369789,ChatGPT
task_Server3_test_0_31,3,req_2025102,ChatGPT
task_Server3_test_0_31,4,req_4984333,GPT-4
task_Server3_test_0_32,0,req_4547742,ChatGPT
task_Server3_test_0_32,1,req_4429285,ChatGPT
task_Server3_test_0_32,2,req_3953888,ChatGPT
task_Server3_test_0_32,3,req_5125815,ChatGPT
task_Server3_test_0_32,4,req_3664309,GPT-4
task_Server3_test_0_33,0,req_3500501,ChatGPT
task_Server3_test_0_33,1,req_4202378,ChatGPT
task_Server3_test_0_33,2,req_3281887,ChatGPT
task_Server3_test_0_33,3,req_4427127,ChatGPT
task_Server3_test_0_33,4,req_2390534,GPT-4
task_Server3_test_0_34,0,req_1658949,ChatGPT
task_Server3_test_0_34,1,req_3524819,GPT-4
task_Server3_test_0_34,2,req_1692390,GPT-4v
task_Server3_test_0_34,3,req_3568353,ChatGPT
task_Server3_test_0_34,4,req_4634860,GPT-4v
