traffic_pattern,ca2,cs2,rho,T_q_est_ms,T_q_obs_ms,MAE_ms,MAPE_pct,util_bin
Poisson,1.0,1.0,0.15412,70.2,67.56,2.64,3.76,Low (ρ<0.3)
Poisson,1.0,1.0,0.15929,73.0,69.5,3.5,4.79,Low (ρ<0.3)
Poisson,1.0,1.0,0.16162,74.28,62.33,11.95,16.08,Low (ρ<0.3)
Poisson,1.0,1.0,0.1779,83.38,71.78,11.59,13.9,Low (ρ<0.3)
Poisson,1.0,1.0,0.1812,85.27,98.4,13.14,15.41,Low (ρ<0.3)
Poisson,1.0,1.0,0.1812,85.27,83.71,1.56,1.82,Low (ρ<0.3)
Poisson,1.0,1.0,0.18636,88.25,84.59,3.67,4.16,Low (ρ<0.3)
Poisson,1.0,1.0,0.18668,88.44,89.67,1.23,1.39,Low (ρ<0.3)
Poisson,1.0,1.0,0.18993,90.34,94.85,4.51,4.99,Low (ρ<0.3)
Poisson,1.0,1.0,0.19247,91.83,83.93,7.91,8.61,Low (ρ<0.3)
Poisson,1.0,1.0,0.20825,101.34,95.23,6.11,6.03,Low (ρ<0.3)
Poisson,1.0,1.0,0.20843,101.45,92.99,8.46,8.34,Low (ρ<0.3)
Poisson,1.0,1.0,0.21085,102.95,106.98,4.03,3.92,Low (ρ<0.3)
Poisson,1.0,1.0,0.22327,110.76,125.97,15.22,13.74,Low (ρ<0.3)
Poisson,1.0,1.0,0.22491,111.8,131.52,19.72,17.64,Low (ρ<0.3)
Poisson,1.0,1.0,0.23639,119.28,112.65,6.63,5.56,Low (ρ<0.3)
Poisson,1.0,1.0,0.24121,122.48,109.38,13.11,10.7,Low (ρ<0.3)
Poisson,1.0,1.0,0.25285,130.39,123.98,6.41,4.92,Low (ρ<0.3)
Poisson,1.0,1.0,0.25495,131.85,128.86,2.99,2.27,Low (ρ<0.3)
Poisson,1.0,1.0,0.26848,141.41,125.21,16.21,11.46,Low (ρ<0.3)
Poisson,1.0,1.0,0.26973,142.31,119.24,23.08,16.22,Low (ρ<0.3)
Poisson,1.0,1.0,0.27022,142.67,127.51,15.16,10.62,Low (ρ<0.3)
Poisson,1.0,1.0,0.27237,144.23,138.16,6.06,4.2,Low (ρ<0.3)
Poisson,1.0,1.0,0.29161,158.61,151.74,6.88,4.34,Low (ρ<0.3)
Poisson,1.0,1.0,0.2964,162.31,179.67,17.36,10.7,Low (ρ<0.3)
Poisson,1.0,1.0,0.30704,170.72,150.51,20.21,11.84,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.31649,178.41,206.55,28.14,15.77,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.32324,184.03,198.81,14.78,8.03,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.34014,198.61,207.43,8.82,4.44,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.34398,202.03,186.36,15.67,7.76,Medium (0.3≤ρ<0.6)
