window,p_rel_none,p_rel_ind,p_rel_burst,failure_state_burst,lat_none_ms,lat_ind_ms,lat_burst_ms,risk_none,risk_ind,risk_burst,sla_viol_none,sla_viol_ind,sla_viol_burst
0,1.0,0.9626,0.9248,0,2152.2,2074.0,2030.2,0.0,0.0374,0.0752,0.0,0.0,0.0
1,1.0,0.934,0.9334,0,2073.4,2222.9,2239.6,0.0,0.066,0.0666,0.0,0.0,0.0
2,1.0,0.9692,0.9255,0,2154.8,2082.6,2159.5,0.0,0.0308,0.0745,0.0,0.0,0.0
3,1.0,0.9898,0.9378,0,2112.5,2192.0,2153.1,0.0,0.0102,0.0622,0.0,0.0,0.0
4,1.0,0.9762,0.9476,0,2193.4,1990.6,2135.1,0.0,0.0238,0.0524,0.0,0.0,0.0
5,1.0,0.9644,0.9619,0,2250.0,2363.8,2176.0,0.0,0.0356,0.0381,0.0,0.0,0.0
6,1.0,0.9362,0.9464,0,2172.6,2084.5,2160.9,0.0,0.0638,0.0536,0.0,0.0,0.0
7,1.0,0.972,0.9482,0,2037.1,2036.8,1986.0,0.0,0.028,0.0518,0.0,0.0,0.0
8,1.0,0.9697,0.9438,0,2174.5,2302.1,2174.0,0.0,0.0303,0.0562,0.0,0.0,0.0
9,1.0,0.9329,0.9551,0,2073.7,1977.6,2004.9,0.0,0.0671,0.0449,0.0,0.0,0.0
10,1.0,0.9775,0.9471,0,2101.5,2148.3,2108.7,0.0,0.0225,0.0529,0.0,0.0,0.0
11,1.0,0.9611,0.9485,0,2145.8,1982.3,2188.6,0.0,0.0389,0.0515,0.0,0.0,0.0
12,1.0,0.9556,0.9353,0,2176.8,2069.8,2202.8,0.0,0.0444,0.0647,0.0,0.0,0.0
13,1.0,0.9773,0.9427,0,2110.2,2136.4,2031.2,0.0,0.0227,0.0573,0.0,0.0,0.0
14,1.0,0.9547,0.9328,0,2054.1,2040.8,2097.6,0.0,0.0453,0.0672,0.0,0.0,0.0
