Algorithm,J_L (ms),J_C (USD),Avg Switches,J_R (raw),V_SLA,J_L_norm,J_C_norm,J_R_norm,eta_L*(1-JL),eta_C*(1-JC),eta_R*(1-JR),eta_S*(1-V),Composite QoS Score,Improvement vs Greedy (%),Baseline
TopoFreeRL (Ours),2112.22,0.0755,0.0,0.0,0.185,0.4224,0.3773,0.0,0.2599,0.2179,0.1,0.0815,65.93,24.4,Greedy
A3C,2135.4,0.0916,1.985,0.585,0.195,0.4271,0.458,0.585,0.2578,0.1897,0.0415,0.0805,56.95,23.6,Greedy
Equity-Trans,2158.75,0.0896,1.885,0.5817,0.2,0.4318,0.448,0.5817,0.2557,0.1932,0.0418,0.08,57.07,22.7,Greedy
PPO-CN,2185.22,0.0812,1.91,0.575,0.22,0.437,0.406,0.575,0.2533,0.2079,0.0425,0.078,58.17,21.8,Greedy
STARK (IL),2358.9,0.1485,2.055,0.62,0.245,0.4718,0.7425,0.62,0.2377,0.0901,0.038,0.0755,44.13,15.6,Greedy
PPO-Std,2634.55,0.0978,2.08,0.5983,0.22,0.5269,0.489,0.5983,0.2129,0.1789,0.0402,0.078,50.99,5.7,Greedy
PF-PPO,2726.15,0.2522,2.04,0.6083,0.325,0.5452,1.0,0.6083,0.2046,0.0,0.0392,0.0675,31.13,2.4,Greedy
GA-PPO,2744.8,0.2545,2.15,0.6183,0.34,0.549,1.0,0.6183,0.203,0.0,0.0382,0.066,30.71,1.7,Greedy
Greedy,2793.58,0.2709,2.08,0.6233,0.315,0.5587,1.0,0.6233,0.1986,0.0,0.0377,0.0685,30.47,0.0,Greedy
Random,3868.79,0.2165,2.08,0.6233,0.565,0.7738,1.0,0.6233,0.1018,0.0,0.0377,0.0435,18.3,-38.5,Greedy
