algorithm,workflow_steps,lat_mean,lat_std,lat_p95,cost_mean,viol_pct,risk_mean,n
TopoFreeRL (Full),2,443.9785355802254,336.5046446472526,1112.850169166562,0.009891845285892487,0.0,0.0,200
TopoFreeRL (Full),3,707.8253036420903,506.5967049201951,1555.589313501669,0.018401216715574265,0.5,0.0,200
TopoFreeRL (Full),5,1159.8370508127052,532.4755214841279,1983.4041151072206,0.037496935576200485,1.5,0.0,200
A3C,2,457.8277568788776,347.01714964045306,1142.1859221343202,0.010044598951935768,0.0,0.0,200
A3C,3,737.2147068562035,527.5985307694095,1622.071375502173,0.01877758465707302,0.5,0.0,200
A3C,5,1233.1768069610846,565.1560382966844,2112.8535035646423,0.038646966218948364,1.5,0.0,200
Greedy,2,730.3508749183873,336.7516010798515,1295.0868591773808,0.016473492607474327,0.0,0.0,200
Greedy,3,1131.8057938136058,491.92732087200187,2022.3177895357037,0.03062034212052822,1.0,0.0,200
Greedy,5,1909.8271456167618,536.3898023878731,2732.1702109000844,0.060994815081357956,3.0,0.0,200
PF-PPO,2,733.3587708565082,335.36557452796677,1404.272002862038,0.016473492607474327,0.0,0.0,200
PF-PPO,3,1132.326652316716,486.6103358682945,2014.119046336181,0.03062034212052822,1.0,0.0,200
PF-PPO,5,1900.8431188529594,532.7646778056281,2728.8915348502837,0.060994815081357956,4.0,0.0,200
PPO-Std,2,474.24199111297787,359.6014268105255,1169.3793979691711,0.01216686051338911,0.0,0.0,200
PPO-Std,3,763.0528157495128,546.9674829274453,1682.8024685532357,0.022615328431129456,1.0,0.0,200
PPO-Std,5,1272.8777611839205,586.17991165178,2148.2563596516093,0.045049067586660385,1.5,0.0,200
PPO-CN,2,474.0653571754272,359.65252590716307,1169.8765281798228,0.011560083366930485,0.0,0.0,200
PPO-CN,3,763.041352245488,547.0457410260855,1682.528472605436,0.021518077701330185,1.0,0.0,200
PPO-CN,5,1273.5849650805894,586.1715000341084,2151.0838823011177,0.043218642473220825,1.5,0.0,200
Random,2,795.8954340695168,595.8832104030814,2112.613717434393,0.027669517323374748,0.5,0.0,200
Random,3,1362.0695827559982,1323.219526807897,3133.594758034807,0.05330173671245575,5.5,0.0,200
Random,5,2244.4362508271106,1026.345669074251,4223.1386256925325,0.10234197974205017,17.0,0.0,200
STARK,2,722.3454428374084,327.43141234173817,1344.283512645693,0.016473492607474327,0.0,0.0,200
STARK,3,1133.7964211516219,495.89805943213935,1996.1043516448726,0.03062034212052822,1.0,0.0,200
STARK,5,1884.3213936348038,544.485513862247,2691.557992137961,0.060994815081357956,3.5,0.0,200
