algo,node_count,edge_count,n,lat_mean,lat_std,lat_p95,lat_p99,cost_mean,risk_mean,dt_mean_ms,dt_std_ms,dt_p95_ms
TopoFreeRL,500,1487,200,2112.2193212639454,1010.3937764945777,4110.117585042019,4558.44111859203,0.07027393579483032,0.0,23.72441530227661,10.035546772858016,31.27508163452148
PF-PPO,500,1487,200,2702.1225417671603,936.2755375967268,4432.240362005512,5065.082674877181,0.10279184579849243,0.0,23.17839026451111,9.275692051237895,30.495440959930413
PPO-Std,500,1487,200,2170.8427602708957,1041.2991834581258,4243.832712356061,4729.385228328892,0.0811401754617691,0.0,21.46383762359619,9.216734830809045,28.681731224060055
PPO-CN,500,1487,200,2172.1310094996943,1041.3256477143123,4246.953037950604,4729.538521015863,0.07430514693260193,0.0,22.458441257476807,9.164264743941516,30.086314678192135
A3C,500,1487,200,2112.2193212639454,1010.3937764945777,4110.117585042019,4558.44111859203,0.07027393579483032,0.0,22.593554258346558,9.061354675575434,30.346202850341793
Equity-Trans,500,1487,200,2141.217788186786,1025.5115867152824,4183.66612189753,4641.837305835004,0.0832124724984169,0.0,24.092684984207153,12.31912741344908,31.28684759140014
STARK,500,1487,200,2865.830674283147,1475.548780144731,5906.63399422799,7330.939825931388,0.12106155604124069,0.0,207.49449014663696,74.4961509829015,311.06778383255005
Greedy,500,1487,200,2702.073970745875,936.2641816254626,4432.186642436953,5065.011090092829,0.10279184579849243,0.0,0.762406587600708,0.2937287914314877,1.1771440505981445
Random,500,1487,200,3687.767805756097,1907.576899631428,7066.294984495592,9049.366845586375,0.1742192506790161,0.0,0.4914379119873047,0.23050642652299136,0.7245898246765134
TopoFreeRL,1000,2963,200,2067.850406952528,1082.216637312027,4235.368583002614,5127.231690959821,0.07670035628984262,0.0,49.031381607055664,11.413766078526514,66.66840314865112
PF-PPO,1000,2963,200,2680.2573204222426,1010.8940869728303,4640.983098707842,5514.814088860399,0.2646330059476539,0.0,48.66576790809631,13.60003662245011,65.09147882461548
PPO-Std,1000,2963,200,2296.9657375403644,1200.6366264774367,4712.393304006171,5635.530785410486,0.10539080904088612,0.0,45.439655780792236,10.68526524387461,61.734771728515625
PPO-CN,1000,2963,200,2185.2185389709425,1144.6477248043645,4477.911081157371,5420.040963096821,0.08932624665342605,0.0,45.36817789077759,10.700027418015852,61.679136753082275
A3C,1000,2963,200,2104.9185811131447,1102.3167888868552,4312.001303285983,5220.366506886781,0.07855966725357662,0.0,44.33101177215576,10.281489067874286,59.53730344772338
Equity-Trans,1000,2963,200,2067.529705851702,1082.2072114249513,4234.6200226640285,5125.547979909424,0.07562907494821904,0.0,47.342902421951294,11.544774417981435,62.6806616783142
STARK,1000,2963,200,2887.519253398428,1809.0119126208645,6343.5995699940695,8437.674650883993,0.22156405788709432,0.0,531.1020028591156,196.39089696365903,810.8610391616821
Greedy,1000,2963,200,2686.7503058725792,1014.0722995064991,4738.776369696535,5516.016883221395,0.2657884488249715,0.0,1.7750239372253418,0.6489080308957709,2.711236476898193
Random,1000,2963,200,3793.3625092937577,2237.099813542644,8038.116984849197,10609.87481539088,0.22192605781668157,0.0,0.9295225143432617,0.33667284252639496,1.4291167259216309
TopoFreeRL,2000,5921,200,2151.5002886514953,1041.9225459989816,4050.2795527091635,4853.705037164607,0.07286746073126968,0.0,96.43887519836426,23.865695938683107,127.86685228347777
PF-PPO,2000,5921,200,2729.081335949054,957.3249897067343,4448.945615349749,5152.392902751089,0.2732837498188019,0.0,90.73354005813599,22.232043110338815,121.23990058898926
PPO-Std,2000,5921,200,2147.016495340914,1030.4642598389735,4043.5255630642937,4743.471825850365,0.08692178875207901,0.0,87.28799343109131,19.959835160955187,117.41317510604858
PPO-CN,2000,5921,200,2115.379749764539,1018.5331514648786,3990.703666246943,4686.522094583561,0.07807531952857971,0.0,87.19714879989624,19.970817778403315,116.2167191505432
A3C,2000,5921,200,2132.3282586606106,1026.6247481610214,4018.353072896473,4737.500483198149,0.07669821381568909,0.0,87.04673647880554,19.6434812929829,117.19847917556763
Equity-Trans,2000,5921,200,2178.618914743885,1060.1095572088439,4129.364532791838,4991.847960842388,0.09651204943656921,0.0,88.97455930709839,20.601108555774257,119.3123936653137
STARK,2000,5921,200,2128.864771707728,1026.0202648034106,4018.1825060019664,4730.076820975059,0.09067381173372269,0.0,1497.920310497284,567.7180359877163,2331.91374540329
Greedy,2000,5921,200,2728.7044550187115,964.3732069381546,4462.815055062895,5160.712140539476,0.27263715863227844,0.0,3.8897132873535156,1.373712544112366,5.853688716888428
Random,2000,5921,200,3727.9774175134894,2037.771662341231,8159.5359025257985,9343.365943419638,0.23208551108837128,0.0,1.8156623840332031,0.6856934374477478,2.8551101684570312
